Instruction,Input,Output
Giải thích đầu vào,Tên MetaDAP có ý nghĩa gì,"""Meta"" trong tiếng Hy Lạp có nghĩa là ""vượt ra ngoài"" hoặc ""siêu việt"", ""Meta"" cũng có thể biểu thị tầm nhìn về tương lai và những đổi mới mang tính tiên phong. DAP là viết tắt của Digital Asset Platform - Nền tảng tài sản số, vậy MetaDAP ý chỉ một nền tảng tài sản số tiên phong, siêu việt và hướng về tương lai."
Giải thích ý nghĩa thuật ngữ,Blockchain là gì? ,"Blockchain là công nghệ lưu trữ phân tán, được phát triển nhằm mục đích đảm bảo sự minh bạch, bất biến và khả năng truy vết lịch sử cập nhật của dữ liệu. Do đó, blockchain có các tính chất như một cuốn sổ ghi chép vật lý (mọi cập nhật thay đổi đều để lại dấu vết) nhưng tồn tại dưới dạng kỹ thuật số. Do đó, blockchain còn được gọi là công nghệ sổ cái phân tán (Distributed Ledger Technology - DTL), cung cấp giá trị cố lỗi nhất là minh bạch, chính xác của dữ liệu, làm tiền đề để triển khai hợp đồng thông tinh (Smart Contract) và tinh gọn các qui trình khi không cần phải yêu cầu xác thực dữ liệu từ các bên thứ 3. "
Giải thích ý nghĩa thuật ngữ,Enterprise Blockchain là gì ,"Enterprise Blockchain được phát triển để đáp ứng nhu cầu cụ thể của doanh nghiệp, kết hợp giữa tính bất biến và minh bạch của Public blockchain với tính quản trị và tuân thủ của Private blockchain. Enterprise blockchain yêu cầu cá nhân, tổ chức phải định danh, ở múc cao nhất có thể yêu cầu người dùng xác thực eKYC, bên cạnh đó Enterprise Blockchain chỉ hỗ trợ phương thức thanh toán bằng tiền pháp định. Điều này giúp phòng chống gian lận, rửa tiền và tài trợ khủng bố, đồng thời đảm bảo tuân thủ các quy định pháp lý nghiêm ngặt. Enterprise Blockchain đưuọc vận hành bởi một nhóm các doanh nghiệp được phê duyệt kỹ càng, nhằm duy trì tính minh bạch và phân tán của công nghệ trong khi vẫn đảm bảo hiệu suất hoạt động, khai thác cao."
Giải thích ý nghĩa thuật ngữ,Smart Contract là gì ,"Hợp đồng thông minh (Smart Contract) là những thỏa thuận được xây dựng bằng các dòng mã (code), trong đó các điều khoản sẽ được tự động thực thi nếu điều kiện thực thi được thỏa mãn. Smart Contract hoạt động dựa trên dữ liệu minh bạch của blockchain, do đó, các điều khoản có thể tự động thực thi mà không cần sự tham gia xác thực của các bên thứ 3 khác, đây là chìa khóa tạo ra sự biệt, giúp tối ưu và tinh gọn các qui trình hoạt động của doanh nghiệp. MetaDAP Enterprise Blockchain được phát triển trên nền EVM, sử dụng ngôn ngữ Solitity để phát triển Smart Contract. "
Giải thích ý nghĩa thuật ngữ,Giải thích ý nghĩa thuật ngữ,"DAP là native token của MetaDAP Enterprise Blockchain, DAP được sử dụng như một credit service, nhà phát triển cần đăng ký (subscription) các gói DAP Credit để được cấp quyền ghi dữ liệu vào blockchain, DAP Credit sẽ được khấu trừ dần trong quá trình sử dụng. DAP hoàn toàn chỉ được sử dụng với mục đích quản trị, DAP không phải là phương tiện thanh toán, MetaDAP Enterprise Blockchain chỉ sử dụng duy nhất một công cụ thanh toán là tiền pháp định (Fiat). DAP có thể được tặng để khuyến khích và tạo điều kiện thuận lợi cho cộng đồng tiếp cận và dùng thử MetaDAP Enterprise Blockchain, DAP hoàn toàn không được sử dụng với mục đích gọi vốn."
Giới thiệu vắn tắt ,Giới thiệu vắn tắt về MetaDAP,"MetaDAP (Meta Digital Asset Platform) là một công ty khởi nghiệp công nghệ (Tech-driven startup), MetaDAP phát triển nền tảng tài sản số dành cho doanh nghiệp (Enterprise Blockchain), cho phép doanh nghiệp dễ dàng xây dựng các ứng dụng khai thác lợi thế của blockchain nhưng vẫn đảm bảo tuân thủ pháp lý, từ đó người dùng có thể trực tiếp quản lý và giao dịch sơ cấp (Primary market) lẫn thứ cấp (Secondary market) các tài sản có giá trị (vô hình và hữu hình) tự động, trực tuyến mà không cần sự tham gia của các bên trung gian. Điều này giúp tiết kiệm hơn 90% thời gian, 50% chi phí, tăng tính khả dụng, thanh khoản của tài sản và giúp tạo ra các mô hình kinh doanh mới đa dạng và linh hoạt."
Giải thích tầm nhìn,Tầm nhìn của MetaDAP,"Thế giới đang mạnh mẽ bước vào kỷ nguyên số và đa kết nối, nơi hàng loạt mô hình kinh doanh sáng tạo được tạo ra để #thay thế dần các mô hình truyền thống đang trở nên bất tiện, chậm chạp và thiếu an toàn. Trong bối cảnh này, Blockchain, Smart Contract và ứng dụng #Tài sản số không chỉ #mở ra cánh cửa cho phép tự động hóa, tinh gọn các qui trình phối hợp giữa các bên mà còn là nền đảm bảo sự an toàn, tăng tính khả dụng của tài sản trên môi trường internet, thúc đẩy sự hình thành các mô hình kinh doanh mới linh hoạt và sáng tạo."
Giải thích sứ mệnh,Sứ mệnh của MetaDAP,"Đa phần các nền tảng blockchain mở (Public blockchain) đều có nhược điểm là ẩn danh và sử dụng công cụ thanh toán riêng, dẫn tới khó khăn trong quản lý từ đó tạo ra nguy cơ gian lận, rửa tiền và tài trợ khủng bố. Các nền tảng blockchain đóng (Private blockchain) có thể giải quyết vấn đề này hiệu quả khi tích hợp xác thực danh tính (KYC) và thanh toán bằng tiền pháp định, tuy nhiên, Private blockchain lại để lại nghi vấn về sự thao túng và tính minh bạch, vốn dĩ là đặc tính nổi trội khiến blockchain trở nên có giá trị. Từ thực tế đó, MetaDAP có sứ mệnh xây dựng một kiến trúc blockchain mới vừa có tính bất biến và minh bạch của Public blockchain, nhưng cũng đảm bảo tính quản trị và tuân thủ của Private blockchain, cho phép doanh nghiệp có thể dễ dàng khai thác giá trị của công nghệ blockchain nhưng vẫn đảm bảo sự tuân thủ pháp lý. Nền tảng mới này được đặt tên là #MetaDAP Enterprise Blockchain, kế thừa sự hiểu biết từ hai công nghệ blockchain hàng đầu là Ethereum và Hyperledger Fabric. "
Giải thích sự khác biệt,Điểm khác biệt của MetaDAP so với các nền tảng Blockchain khác là gì?,"MetaDAP Enterprise Blockchain là công nghệ hoàn toàn do MetaDAP phát triển và sở hữu, với những lợi thế nổi bật: Giải pháp định danh toàn diện: 
Từ xác thực email/SDT đến xác thực danh tính (KYC), đặc biệt tại Việt Nam, người dùng được xác thực với dữ liệu dân cư quốc gia.
Thanh toán bằng tiền pháp định (Fiat):
Không cho phép các phương thức thanh toán bằng tiền điện tử như ETH và BTC.
Trải nghiệm người dùng thân thiện:
Không phải lo lắng về gas token hay việc liên kết các ví điện tử phức tạp.
Tương thích với hệ sinh thái phát triển EVM (Ethereum Virtual Machine)
Dễ dàng tiếp cận cho cộng đồng lập trình viên. MetaDAP Enterprise Blockchain là nền tảng được phát triển cho doanh nghiệp, vậy nên các cơ chế để quản lý và tuân thủ sẽ là điểm khác biệt."
Liệt kê thông tin liên hệ,Thông tin liên hệ MetaDAP,"Văn phòng Đà Nẵng: Địa chỉ: 77 Nguyễn Sinh Sắc, P. Hoà Minh, Q. Liên Chiểu, TP. Đà Nẵng, SĐT: (+84) 39-953-1567, Email: contact@metadap.io. Văn phòng Hồ Chí Minh: Địa chỉ: 135 Pasteur, P. Võ Thị Sáu, Q.3, TP. Hồ Chí Minh. SĐT: (+84) 969-696-000. Email: info@vide.vn"
Giải thích ý nghĩa thuật ngữ,Tài sản số là gì,"Tài sản số là những tài sản được tạo ra bằng Smart Contract, trên công nghệ Blockchain. Tài sản số đại diện cho quyền sở hữu đối với tài sản hữu hình hoặc vô hình tương ứng trong thế giới thực. Tài sản số được tạo ra theo cách đặc biệt để phản ánh tính chất của tài sản, có nghĩa là chúng tồn tại duy nhất và chỉ thuộc về một chủ thể duy nhất tại một thời điểm cụ thể."
Giải thích vấn đề,Kinh tế số hiện đại có những bất cập nào,"Hầu hết các giải pháp kinh tế số hiện đại mới chỉ tập trung vào việc tạo điều kiện thuận lợi cho việc quản lý, giao dịch các mặt hàng sử dụng một lần, không có nhu cầu sang nhượng, hoặc nhu cầu sang nhượng thấp như thời trang, đồ điện tử và các mặt hàng gia dụng khác. Điều này tạo ra một khoảng trống đáng kể trên thị trường khi chưa có giải pháp quản lý và giao dịch các tài sản có giá trị cao như các chứng chỉ quỹ, chứng chỉ đầu tư, quyền sở hữu, quyền tác giả/sáng chế, cổ phần (pre-IPO), giấy phép (license), hợp đồng và nhiều hơn nữa. "
Giải thích thuật ngữ,Giải pháp Enterprise Blockchain của metaDAP là như thế nào ,"Nhận thấy tiềm năng của công nghệ Blockchain đối với kinh tế số, MetaDAP đã phát triển nền tảng “MetaDAP Enterprise Blockchain” – một kiến trúc Hybrid kết hợp ưu điểm của public và private blockchain. Trong khi các nền tảng public blockchain nổi bật với tính minh bạch và bất biến, chúng thường gặp khó khăn trong việc quản lý và phòng chống gian lận, rửa tiền, và tài trợ khủng bố do tính ẩn danh và tự trị cao. Private blockchain có thể giải quyết vấn đề trên nhưng lại đối mặt với nghi vấn về tính minh bạch và khả năng bị thao túng. Kiến trúc hybrid có thể cân bằng các vấn đề trên, giúp đảm bảo tính minh bạch, bất biến của public blockchain, đồng thời cũng duy trì khả năng quản trị và tuân thủ của Private Blockchain. Được phát triển từ năm 2021, MetaDAP Enterprise Blockchain tích hợp kinh nghiệm từ Ethereum và Hyperledger Fabric, với sự tư vấn của các luật sư công nghệ để đáp ứng yêu cầu doanh nghiệp và đảm bảo sự tuân thủ, cho phép cơ quan pháp quyền can thiệp khi cần. "
Giải thích công nghệ,Các công nghệ tích hợp kèm theo là gì,"Smart Contract: Smart Contract hoạt động dựa trên dữ liệu minh bạch của blockchain. Do đó, các điều khoản có thể tự động thực thi mà không cần sự tham gia xác thực của các bên thứ ba khác, đây là chìa khóa tạo ra sự biệt, giúp tối ưu và tinh gọn các quy trình hoạt động của doanh nghiệp. MetaDAP Enterprise Blockchain được phát triển trên nền EVM, sử dụng ngôn ngữ Solidity để phát triển Smart Contract. Thanh toán liền mạch: Chỉ duy nhất tiền pháp định (fiat) được chấp nhận là đơn vị thanh toán trên nền tảng, MetaDAP Enterprise Blockchain không hỗ trợ các loại stablecoin như USDT, USDC, ... Identity và eKYC: Để có thể triển khai ứng dụng (Smart Contract hoặc DApps) trên MetaDAP Enterprise Blockchain, nhà phát triển bắt buộc phải đăng ký tài khoản và hoàn thành xác thực danh tính (eKYC) tại https://risegate.io/dang-ky, điều này là cơ sở quan trọng giúp phòng chống rửa tiền và tài trợ khủng bố."
Giải thích đầu vào,Pháp lý về Crowfunding tại Việt Nam,"Chưa có luật riêng: Chưa ban hành văn bản pháp luật cụ thể về crowdfunding, điều này có nghĩa là hoạt động crowdfunding hiện nay vẫn hoạt động trong khoảng ""trống pháp lý"". Các hoạt động crowdfunding vẫn có thể triển khai: Nhưng cần tuân thủ các luật pháp liên quan hiện hành, tùy thuộc vào loại hình cụ thể. Thực trạng Crowfunding tại Việt Nam:  Chưa có nền tảng crowdfunding chuyên sâu như Kickstarter, Republic, hay Indiegogo, làm giảm sự hấp dẫn cho các nhà đầu tư và người kêu gọi vốn.  Thường được tổ chức không chính thức qua mạng xã hội (Facebook, Zalo), các sự kiện offline, hoặc kết nối cá nhân trực tiếp, nguy cơ cao về thiếu minh bạch và an toàn."
Giải thích thuận lợi đầu ra,Cơ hội cho crowfunding ở Việt Nam,"Thị trường tiềm năng: Việt Nam có dân số trẻ, am hiểu công nghệ, và tinh thần khởi nghiệp mạnh mẽ, tạo điều kiện thuận lợi để crowdfunding phát triển. Số hoá nền kinh tế: Chính phủ đang thúc đẩy chuyển đổi số, tạo môi trường thuận lợi cho các mô hình tài chính mới. Cơ hội từ các lĩnh vực mới: Xu hướng khởi nghiệ và các dự án liên quan đến đổi mới sáng tạo có thể tận dụng crowdfunding để huy động vốn."
Giải thích ý nghĩa,VIDE có ý nghĩa gì,Vide là viết tắt của Viện Phát triển Kinh tế số Việt Nam
Giới thiệu công ty,Giới thiệu VIDE,"Viện Phát triển Kinh tế số Việt Nam (VIDE) được thành lập vào tháng 12/2020 bởi Hội Truyền thông Số Việt Nam và hoạt động theo Luật Khoa học và Công nghệ theo Giấy Chứng nhận tổ chức Khoa học và Công nghệ do Bộ Khoa học và Công nghệ cấp ngày 24/02/2021. VIDE có chức năng tập hợp các nhà khoa học trong các lĩnh vực liên quan để nghiên cứu, sản xuất, thử nghiệm, chuyển giao công nghệ, thực hiện các dịch vụ Khoa học và Công nghệ. Tư vấn, đào tạo, liên kết, hợp tác trong lĩnh vực điện tử, thông tin và truyền thông. Đặc biệt là xu thế phát triển kinh tế số góp phần phát triển kinh tế - xã hội của đất nước trong kỷ nguyên cách mạng công nghiệp 4.0."
Tóm tắt đầu ra,Tầm nhìn và sứ mệnh của VIDE,"Sứ mệnh: Phát triển nền kinh tế Việt Nam đi vào xu thế “Kinh tế số - Kinh tế nền tảng - Kinh tế chia sẻ”.  Phát triển nguồn nhân lực đáp ứng xu thế công nghệ và tri thức. Tầm nhìn: Trở thành đơn vị dẫn đầu, có tầm ảnh hưởng sâu rộng về tư vấn chiến lược, đào tạo, hỗ trợ doanh nghiệp, địa phương, hiệp hội ngành nghề trong nhiệm vụ chuyển đổi số, phát triển kinh tế số cho Việt Nam."
Giải thích đầu ra,Triết lý của VIDE là gì,"Tiên phong: Đi đầu trong các dự án mới. Không ngừng tìm kiếm cơ hội mới, sáng tạo và phát triển sản phẩm hoặc dịch vụ để đáp ứng nhu cầu thị trường đang thay đổi, mang lại giá trị cao hơn cho khách hàng. Sáng tạo: Lấy sáng tạo làm nền tảng hiệu quả công việc. Luôn tìm kiếm những giải pháp mới, ý tưởng đột phá để thay đổi và nâng cao. Khuyến khích ý tưởng mới và sáng tạo trong môi trường làm việc của chúng tôi. Chia sẻ: Là sự cộng tác, hợp tác, cùng nhau phát triển. Sẵn sàng chia sẻ thông tin, kiến thức, kinh nghiệm, tài nguyên với các đối tác, cộng đồng để tạo ra sự phát triển bền vững và các giá trị lâu dài cho xã hội. "
Liệt kê đầu ra,Các dịch vụ VIDE cung cấp ,"Dịch vụ khoa học Công Nghệ, Đào tạo và liên kết đào tạo, dự án kinh tế số. Tư vấn tái cấu trúc, chuyển đổi số. Nghiên cứu dự án và hợp tác quốc tế. Quản trị thương hiệu - Marketing. "
Liệt kê đầu ra,Viện trưởng Viện Phát triển Kinh tế Số Việt Nam là ai,"TS. Trần Quý là Viện trưởng Viện Phát Triển Kinh Tế Số Việt Nam

Phó chủ tịch Hội Tư vấn Khoa học Công nghệ và Quản lý

Thành viên Ban Thường vụ kiêm Trưởng Văn phòng phía nam: Hội Hỗ trợ Phát triển Kinh Tế Miền Núi Việt Nam (VAMEDA);

Thành viên Ban Chấp hành: Hội Truyền Thông Số Việt Nam (VDCA), Hiệp hội Ẩm thực TP. HCM (FBA), Chủ tịch CLB Nhà tư vấn Doanh nghiệp Việt Nam.

Ông hiện nay là là Chủ tịch HĐQT: Vườn Ươm Khởi Nghiệp Việt (VSI), Quỹ Đầu tư Khởi Nghiệp Sáng Tạo Việt Nam, Nền tảng Quản lý Tài Sản Số Việt Nam (metaDAP), Công ty Giải pháp Nền tảng Số, Meta-Uni (Đại học Metaverse)…

Ông từng chủ trì tư vấn nhiều dự án lớn trong các lĩnh vực Hạ tầng ICT, Ngân hàng, Chứng khoán, Công nghệ thông tin - Viễn thông,…

Với hơn 25 năm trãi qua nhiều vị trí như CEO, Cố vấn chiến lược, Đào tạo… cho các Tập đoàn lớn và Quỹ đầu tư, TS. Trần Quý có nhiều kinh nghiệm trong công tác điều hành, nghiên cứu đào tạo và quản trị doanh nghiệp, ông đã tham gia đào tạo cho hàng trăm khóa học về Nâng cao năng lực Quản trị Doanh nghiệp, Chuyển đổi số Doanh nghiệp, Tái cấu trúc,… cho các tổ chức trong và ngoài nước

Hiện nay, Ông cũng là Giảng viên và Cố vấn các chương trình trong lĩnh vực ứng dụng kinh tế số vào quản trị doanh nghiệp, đào tạo các chuyên đề về Doanh nghiệp Số, Kinh tế chia sẻ,  Digital Marketing, Nông nghiệp Số, Phát triển Bản thân, Năng lực Lãnh đạo, Đổi mới sáng tạo,… Ông cũng là giảng viên cao cấp cho các chương trình ToT và các dự án của các Tổ chức phi chính phủ khác, các tổ chức Doanh nghiệp Vừa và Nhỏ"
,Ban điều hành VIDE gồm những ai,"TS. Trần Quý viện trưởng VIDE. TS. Luật sư Trần Đức Thanh, TS. Lê Bình Phương, ThS. Nguyễn Vĩnh Nam. TS. Đồng Mạnh Cường, Bà Bùi Thị Thuỷ Tiên đồng viện phó VIDE"
,Đội ngũ chuyên gia của VIDE gồm những ai,PGS.TS Nguyễn Thế Kiên giám đốc Trung tâm Dữ liệu và Phân tích Kinh tế - Xã hội. TS. Đặng Đức Long Trưởng ban Nghiên cứu Chiến lược và Chính sách Phát triển Kinh Tế Số. Ông Trần Quốc Việt Giám Đốc Nền Tảng Quản Lý Tài Sản Số - MetaDAP. Bà Lê Thị Thanh Hà Giám đốc Trung tâm Đào Tạo Tấm Trí Việt. ThS Võ Nhật Hà Chuyên gia VIDE. ThS Nguyễn Vũ Thắng Giám đốc Trung tâm Đầu tư quốc tế VIPA 
Giới thiệu đầu ra,VIDE cung cấp các khoá học gì,Bản chất và ứng dụng thực tiễn của Blockchain và tài sản số. Khoá đào tạo nâng cao năng lực số cho đội ngũ tư vấn chuyển đổi số. Kỹ năng quản trị nâng cao năng lực cạnh tranh
Giải thích ý nghĩa câu hỏi,Giới thiệu về MetaDAP,"MetaDAP là một công ty khởi nghiệp công nghệ, phát triển nền tảng tài sản số dành cho doanh nghiệp (Enterprise Blockchain). Nền tảng này giúp doanh nghiệp dễ dàng xây dựng các ứng dụng khai thác lợi thế của blockchain nhưng vẫn đảm bảo tuân thủ các quy định pháp lý. Người dùng có thể trực tiếp quản lý và giao dịch các tài sản có giá trị, bao gồm tài sản hữu hình và vô hình, ở cả thị trường sơ cấp và thứ cấp. Toàn bộ quy trình được thực hiện tự động và trực tuyến mà không cần sự tham gia của các bên trung gian, giúp tăng tính khả dụng và thanh khoản của tài sản."
Liệt kê văn bản liên quan đến nhân sự,Nhân sự công ty gồm những ai,"TS. Trần Quý là Viện trưởng Viện Phát Triển Kinh Tế Số Việt Nam. Với hơn 25 năm trải qua nhiều vị trí như CEO, Cố vấn chiến lược, Đào tạo… cho các Tập đoàn lớn và Quỹ đầu tư, TS. Trần Quý có nhiều kinh nghiệm trong công tác điều hành, nghiên cứu đào tạo và quản trị doanh nghiệp, ông đã tham gia đào tạo cho hàng trăm. khóa học về Nâng cao năng lực Quản trị Doanh nghiệp, Chuyển đổi số Doanh nghiệp, Tái cấu trúc,… cho các tổ chức trong và ngoài nước. Trần Quốc Việt CTO của metaDAP  Chuyên gia về Blockchain với gần 10 năm kinh nghiệm trong lĩnh vực phát triển sản phẩm (IoT, ML, Computer Vision, Blockchain) theo mô hình Agile. Ông Jason Le Chief Invesment Là Đồng sáng lập của MIV Investment và HTPGroup Venture, đồng thời giữ vai trò Phó Tổng Giám đốc tại THH và Đối tác tại Kilsa Global và OHQ Software, ông có hơn 18 năm kinh nghiệm trong chuỗi F&amp;B Hospitality, vận hành e-Gaming, công nghệ ERP AI, nội thất thông minh, đổi mới năng lượng mặt trời và đầu tư toàn cầu. Với nền tảng vững chắc trong tiếp thị số, quản lý tài sản, huy động vốn, bán hàng, phát triển kinh doanh và chiến lược sản phẩm, ông cam kết thúc đẩy tăng trưởng, đổi mới và thành công trên mọi lĩnh vực và ngành nghề. Nguyễn Thị Hạnh Product Owner Tốt nghiệp cử nhân Đại học kinh tế Đà Nẵng, chuyên ngành quản trị nguồn nhân lực, Hạnh Nguyễn cũng có hơn 5 năm làm việc trong lĩnh vực phân tích dữ liệu."
Liệt kê ban cố vấn,MetaDAP có các ban cố gồm những ai,"TS. Phạm Hồng Hải cố vấn phát triển bền vững giám đốc Trung tâm Phát triển bền vững. Giảng viên chính, Giảng dạy và nghiên cứu tại Bộ môn Quản trị chuyên ngành tổng hợp, Khoa Quản trị kinh doanh, Đại học Tài chính Marketing. TS. Trần Đức Thanh cố vấn Pháp lý Phó Viện trưởng Viện phát triển kinh tế số Việt Nam. Trọng tài viên Trung tâm Trọng tài Quốc tế Atlantic. Tư vấn các chương trình phát triển hạ tầng thông tin: UBND TP.HCM, Khu Công viên Phần mềm Quang Trung, Khu Công nghệ cao TP.HCM, Đại học Quốc gia TP.HCM. Tư vấn Phát triển hệ thống ngân hàng. TS. Lê Bình Phương là Phó Viện trưởng Phụ trách Đối Ngoại & Hợp tác Quốc Tế của Viện Phát Triển Kinh Tế Số Việt Nam. Ông có kinh nghiệm nhiều năm trong lĩnh vực Y tế và Giáo dục."
Trình bày tầm nhìn và sứ mệnh,Tầm nhìn và sứ mệnh của metaDAP là gì,"Tầm nhìn: Dẫn đầu cuộc cách mạng mã hóa tài sản (RWAs) tại Việt Nam và Khu Vực. Sứ mệnh xây dựng nền tảng mã hoá tài sản, giúp doanh nghiệp và tổ chức có thể mã hoá, phân phối và quản lý tài sản trên blockchain nhưng vẫn đảm bảo tuần thủ pháp lý."
